Date,Profit/Losses,,,,,#VALUE!,,Profit/Losses
10-Jan,1141840,,,22564198,,13029,,1141840
10-Feb,1128811,,,,,39828,,1128811
10-Mar,1088983,,,"
Average Change: $-8311.11",,7511,#VALUE!,1088983
10-Apr,1081472,,,,,8270,,1081472
10-May,1073202,,,,,36613,,1073202
10-Jun,1036589,,,,,53637,,1036589
10-Jul,982952,,,,,31725,,982952
10-Aug,951227,,,,,486,,951227
10-Sep,950741,,,,,16022,,950741
10-Oct,934719,,,,,20295,,934719
10-Nov,914424,,,,,16183,,914424
10-Dec,898241,,,,,19431,,898241
11-Jan,878810,,,,,23361,,878810
11-Feb,855449,,,,,1268,,855449
11-Mar,854181,,,,,277,,854181
11-Apr,853904,,,,,911,,853904
11-May,852993,,,,,1976,,852993
11-Jun,851017,,,,,13130,,851017
11-Jul,837887,,,,,46489,,837887
11-Aug,791398,,,,,36007,,791398
11-Sep,755391,,,,,2626,,755391
11-Oct,752765,,,,,13398,,752765
11-Nov,739367,,,,,59843,,739367
11-Dec,679524,,,,,13508,,679524
12-Jan,666016,,,,,3732,,666016
12-Feb,662284,,,,,2743,,662284
12-Mar,659541,,,,,27192,,659541
12-Apr,632349,,,,,25141,,632349
12-May,607208,,,,,2013,,607208
12-Jun,605195,,,,,15424,,605195
12-Jul,589771,,,,,26050,,589771
12-Aug,563721,,,,,15937,,563721
12-Sep,547784,,,,,5154,,547784
12-Oct,542630,,,,,4871,,542630
12-Nov,537759,,,,,19078,,537759
12-Dec,518681,,,,,2368,,518681
13-Jan,516313,,,,,1936,,516313
13-Feb,514377,,,,,12111,,514377
13-Mar,502266,,,,,12976,,502266
13-Apr,489290,,,,,2237,,489290
13-May,487053,,,,,23020,,487053
13-Jun,464033,,,,,1931,,464033
13-Jul,462102,,,,,18538,,462102
13-Aug,443564,,,,,61025,,443564
13-Sep,382539,,,,,26657,,382539
13-Oct,355882,,,,,8744,,355882
13-Nov,347138,,,,,6803,,347138
13-Dec,340335,,,,,16489,,340335
14-Jan,323846,,,,,10846,,323846
14-Feb,313000,,,,,14490,,313000
14-Mar,298510,,,,,6478,,298510
14-Apr,292032,,,,,1870,,292032
14-May,290162,,,,,13540,,290162
14-Jun,276622,,,,,10770,,276622
14-Jul,265852,,,,,24720,,265852
14-Aug,241132,,,,,65785,,241132
14-Sep,175347,,,,,12093,,175347
14-Oct,163254,,,,,3472,,163254
14-Nov,159782,,,,,39365,,159782
14-Dec,120417,,,,,20576,,120417
15-Jan,99841,,,,,212050,,99841
15-Feb,-112209,,,,,61535,,-112209
15-Mar,-173744,,,,,10639,,-173744
15-Apr,-184383,,,,,13442,,-184383
15-May,-197825,,,,,37395,,-197825
15-Jun,-235220,,,,,17729,,-235220
15-Jul,-252949,,,,,35582,,-252949
15-Aug,-288531,,,,,66003,,-288531
15-Sep,-354534,,,,,34398,,-354534
15-Oct,-388932,,,,,82507,,-388932
15-Nov,-471439,,,,,24775,,-471439
15-Dec,-496214,,,,,38994,,-496214
16-Jan,-535208,,,,,14407,,-535208
16-Feb,-549615,,,,,39961,,-549615
16-Mar,-589576,,,,,138557,,-589576
16-Apr,-728133,,,,,871,,-728133
16-May,-729004,,,,,19252,,-729004
16-Jun,-748256,,,,,37494,,-748256
16-Jul,-785750,,,,,20801,,-785750
16-Aug,-806551,,,,,77370,,-806551
16-Sep,-883921,,,,,26854,,-883921
16-Oct,-910775,,,,,35973,,-910775
16-Nov,-946748,,,,,119796,,-946748
16-Dec,-1066544,,,,,82579,,-1066544
17-Jan,-1149123,,,,,,,-1149123
17-Feb,-1194133,,,,,,,-1194133
